Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\main\Hangfire.Storage.SQLite\Hangfire.Storage.SQLite.csproj,File,src\main\Hangfire.Storage.SQLite\HangfireSQLiteConnection.cs,457,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,return values.Any() ? values.Min() - DateTime.UtcNow : TimeSpan.FromSeconds(-1);
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\Utils\ConnectionUtils.cs,33,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"return new SQLiteStorage(new SQLiteDbConnectionFactory(() =>                      new SQLiteConnection(dbId,                          flags,                          storeDateTimeAsTicks: true)                      {                          BusyTimeout = TimeSpan.FromSeconds(10),                      }),                  storageOptions);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteWriteOnlyTransactionFacts.cs,761,16,M:System.TimeSpan.FromDays(System.Double),,,,,"Commit(database, x => x.ExpireHash(hash1.Key, TimeSpan.FromDays(1)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteWriteOnlyTransactionFacts.cs,740,16,M:System.TimeSpan.FromDays(System.Double),,,,,"Commit(database, x => x.ExpireList(list1.Key, TimeSpan.FromDays(1)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteWriteOnlyTransactionFacts.cs,718,16,M:System.TimeSpan.FromDays(System.Double),,,,,"Commit(database, x => x.ExpireSet(set1.Key, TimeSpan.FromDays(1)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteWriteOnlyTransactionFacts.cs,291,16,M:System.TimeSpan.FromDays(System.Double),,,,,"Commit(database, x => x.DecrementCounter(""my-key"", TimeSpan.FromDays(1)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteWriteOnlyTransactionFacts.cs,239,16,M:System.TimeSpan.FromDays(System.Double),,,,,"Commit(database, x => x.IncrementCounter(""my-key"", TimeSpan.FromDays(1)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteWriteOnlyTransactionFacts.cs,68,16,M:System.TimeSpan.FromDays(System.Double),,,,,"Commit(database, x => x.ExpireJob(jobId, TimeSpan.FromDays(1)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteStorageOptionsFacts.cs,60,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"Assert.Equal(TimeSpan.FromSeconds(1), storageOptions.QueuePollInterval);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteStorageOptionsFacts.cs,56,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,var storageOptions = new SQLiteStorageOptions              {                  QueuePollInterval = TimeSpan.FromSeconds(1)              };
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteStorageOptionsFacts.cs,49,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,Assert.Throws<ArgumentException>(                  () => storageOptions.QueuePollInterval = TimeSpan.FromSeconds(-1));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,1355,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,Assert.True(result < TimeSpan.FromMinutes(61));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,1354,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,Assert.True(TimeSpan.FromMinutes(59) < result);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,1195,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,Assert.True(result < TimeSpan.FromMinutes(61));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,1194,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,Assert.True(TimeSpan.FromMinutes(59) < result);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,1024,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,Assert.True(result < TimeSpan.FromMinutes(61));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,1023,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,Assert.True(TimeSpan.FromMinutes(59) < result);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,694,16,M:System.TimeSpan.FromHours(System.Double),,,,,connection.RemoveTimedOutServers(TimeSpan.FromHours(15));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,672,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"UseConnection((database, connection) => Assert.Throws<ArgumentException>(                  () => connection.RemoveTimedOutServers(TimeSpan.FromMinutes(-5))));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteConnectionFacts.cs,134,16,M:System.TimeSpan.FromDays(System.Double),,,,,"var jobId = connection.CreateExpiredJob(                      Job.FromExpression(() => SampleMethod(""Hello"")),                      new Dictionary<string, string> { { ""Key1"", ""Value1"" }, { ""Key2"", ""Value2"" } },                      createdAt,                      TimeSpan.FromDays(1));"
